latitude;longitude
42.14553591;-80.01611432
42.14553589;-80.01611428
42.14553584;-80.01611423
42.14553579;-80.01611423
42.14553574;-80.01611428
42.1455357;-80.01611437
42.14553566;-80.0161145
42.14553566;-80.01611463
42.14553567;-80.01611479
42.14553563;-80.0161149
42.14553557;-80.01611501
42.14553552;-80.01611512
42.14553546;-80.0161152
42.14553541;-80.01611526
42.14553538;-80.01611531
42.14553538;-80.01611536
42.14553547;-80.01611533
42.1455357;-80.0161152
42.14553619;-80.01611486
42.14553704;-80.01611405
42.14553819;-80.01611276
42.1455397;-80.01611119
42.14554146;-80.01610922
42.14554345;-80.0161068
42.14554562;-80.01610398
42.14554797;-80.01610078
42.14555051;-80.01609714
42.1455532;-80.01609296
42.14555603;-80.01608836
42.14555904;-80.01608329
42.14556233;-80.0160778
42.14556588;-80.01607185
42.14556968;-80.01606528
42.14557375;-80.01605808
42.14557815;-80.01605025
42.14558284;-80.01604186
42.14558795;-80.0160329
42.14559324;-80.01602321
42.14559895;-80.016013
42.14560489;-80.01600205
42.14561112;-80.0159905
42.14561776;-80.01597848
42.14562469;-80.01596596
42.14563184;-80.01595284
42.14563934;-80.0159394
42.14564688;-80.01592526
42.14565452;-80.0159106
42.14566242;-80.0158956
42.14567042;-80.01588015
42.14567851;-80.01586417
42.14568691;-80.01584784
42.14569547;-80.01583107
42.14570423;-80.01581385
42.14571328;-80.01579632
42.14572232;-80.01577826
42.14573162;-80.01575982
42.14574123;-80.01574118
42.14575101;-80.01572208
42.14576088;-80.01570255
42.14577104;-80.01568279
42.14578132;-80.0156628
42.14579173;-80.01564259
42.14580222;-80.01562225
42.14581296;-80.01560187
42.14582364;-80.01558118
42.1458342;-80.01556003
42.1458448;-80.01553876
42.14585553;-80.01551753
42.14586643;-80.01549634
42.14587734;-80.01547513
42.1458881;-80.01545354
42.14589861;-80.0154317
42.14590903;-80.0154097
42.14591947;-80.01538772
42.14593009;-80.01536575
42.14594085;-80.01534386
42.14595147;-80.01532178
42.145962;-80.01529948
42.14597259;-80.01527726
42.14598326;-80.01525497
42.14599399;-80.01523275
42.14600472;-80.01521039
42.14601541;-80.01518788
42.14602606;-80.01516517
42.14603678;-80.01514248
42.14604743;-80.0151197
42.14605804;-80.01509679
42.14606869;-80.01507393
42.14607933;-80.01505095
42.14608989;-80.01502788
42.1461004;-80.01500479
42.1461109;-80.01498182
42.14612133;-80.01495876
42.14613181;-80.01493578
42.14614232;-80.01491285
42.14615276;-80.01488977
42.14616316;-80.0148668
42.14617358;-80.01484382
42.14618383;-80.01482084
42.14619417;-80.01479786
42.14620455;-80.01477493
42.14621501;-80.01475195
42.14622549;-80.01472899
42.14623577;-80.01470589
42.14624596;-80.01468269
42.1462562;-80.01465967
42.14626645;-80.0146366
42.14627668;-80.01461352
42.14628693;-80.01459046
42.1462971;-80.01456739
42.14630722;-80.01454421
42.14631748;-80.0145212
42.14632774;-80.01449819
42.14633778;-80.01447486
42.14634776;-80.01445145
42.14635795;-80.01442822
42.14636824;-80.0144051
42.14637859;-80.01438194
42.14638885;-80.01435876
42.14639896;-80.01433534
42.14640902;-80.01431188
42.14641915;-80.01428854
42.14642931;-80.01426516
42.14643934;-80.01424166
42.14644931;-80.01421811
42.14645913;-80.01419448
42.14646899;-80.01417089
42.14647889;-80.01414745
42.14648886;-80.01412396
42.14649871;-80.01410036
42.14650849;-80.01407665
42.14651816;-80.01405268
42.14652783;-80.01402873
42.14653765;-80.01400488
42.14654741;-80.01398101
42.14655708;-80.01395698
42.14656676;-80.01393299
42.14657647;-80.01390891
42.14658604;-80.0138847
42.14659561;-80.01386053
42.14660508;-80.01383618
42.14661443;-80.01381177
42.14662384;-80.01378738
42.14663338;-80.01376317
42.14664288;-80.01373896
42.14665229;-80.01371475
42.14666179;-80.01369052
42.14667121;-80.01366617
42.1466806;-80.01364184
42.14669017;-80.01361756
42.14669985;-80.01359358
42.1467094;-80.0135696
42.14671871;-80.01354559
42.14672788;-80.01352146
42.14673705;-80.01349741
42.14674636;-80.01347346
42.14675564;-80.01344949
42.14676474;-80.01342544
42.14677367;-80.01340116
42.14678265;-80.01337697
42.14679176;-80.01335296
42.1468009;-80.01332907
42.14680976;-80.01330495
42.14681805;-80.01328047
42.14682635;-80.01325591
42.14683493;-80.01323147
42.14684364;-80.01320714
42.14685223;-80.01318269
42.14686053;-80.01315812
42.14686906;-80.01313359
42.14687784;-80.0131092
42.14688666;-80.0130848
42.14689543;-80.0130604
42.14690412;-80.01303586
42.14691271;-80.01301125
42.1469214;-80.01298683
42.14693029;-80.01296252
42.14693931;-80.01293844
42.14694835;-80.0129143
42.14695691;-80.01288996
42.14696546;-80.01286553
42.14697393;-80.01284113
42.14698257;-80.01281675
42.14699124;-80.01279234
42.14699976;-80.01276779
42.14700822;-80.01274307
42.14701685;-80.01271843
42.14702585;-80.01269404
42.14703496;-80.01266977
42.14704391;-80.01264525
42.14705268;-80.01262048
42.14706157;-80.0125957
42.14707063;-80.01257105
42.14707985;-80.01254658
42.14708887;-80.01252191
42.14709737;-80.01249695
42.14710583;-80.01247192
42.1471145;-80.01244709
42.14712331;-80.01242243
42.14713183;-80.01239769
42.14713975;-80.01237247
42.14714748;-80.01234719
42.14715551;-80.01232227
42.14716376;-80.01229766
42.14717189;-80.01227306
42.14717966;-80.0122483
42.14718702;-80.01222315
42.14719448;-80.01219801
42.14720225;-80.01217315
42.14721034;-80.01214857
42.14721814;-80.01212381
42.14722555;-80.01209877
42.14723298;-80.01207364
42.14724065;-80.01204868
