Lat [deg],Lon [deg],Alt Ellips [m]
42.16365857,-79.96425373,189.4362
42.16365498,-79.96426248,189.4349
42.1636514,-79.96427127,189.445
42.16364777,-79.96428006,189.4506
42.16364415,-79.9642889,189.4561
42.16364051,-79.96429772,189.4595
42.16363685,-79.96430659,189.4617
42.16363318,-79.96431544,189.464
42.16362952,-79.96432433,189.4636
42.16362587,-79.96433325,189.4684
42.16362218,-79.96434218,189.4784
42.16361851,-79.96435117,189.4819
42.16361484,-79.96436016,189.4754
42.1636112,-79.96436918,189.4784
42.16360753,-79.96437819,189.4781
42.16360386,-79.96438724,189.4802
42.16360022,-79.96439629,189.4763
42.16359656,-79.96440534,189.4743
42.16359286,-79.96441443,189.4773
42.16358916,-79.96442353,189.4811
42.16358553,-79.9644326,189.4692
42.16358185,-79.96444165,189.4694
42.16357812,-79.96445072,189.4708
42.16357451,-79.96445984,189.4851
42.16357087,-79.96446894,189.468
42.16356724,-79.96447797,189.4645
42.16356358,-79.96448698,189.4697
42.16355991,-79.96449608,189.4752
42.16355625,-79.96450509,189.474
42.1635526,-79.96451407,189.4719
42.16354899,-79.96452304,189.4648
42.16354527,-79.96453194,189.4504
42.16354167,-79.96454092,189.4559
42.16353805,-79.96454991,189.4653
42.16353445,-79.96455882,189.4544
42.16353083,-79.96456774,189.4551
42.16352722,-79.96457674,189.457
42.16352358,-79.9645858,189.4679
42.16351994,-79.96459485,189.466
42.1635163,-79.96460395,189.4678
42.16351265,-79.9646131,189.4725
42.163509,-79.96462229,189.4793
42.1635053,-79.96463153,189.4848
42.16350159,-79.96464077,189.4834
42.16349789,-79.96465,189.487
42.16349415,-79.96465931,189.4871
42.16349041,-79.96466862,189.4936
42.16348664,-79.96467793,189.4982
42.16348286,-79.96468728,189.4985
42.16347908,-79.96469663,189.5029
42.16347527,-79.964706,189.5035
42.16347148,-79.96471545,189.5079
42.16346764,-79.96472495,189.509
42.16346383,-79.96473442,189.5055
42.16345999,-79.96474397,189.5023
42.16345618,-79.96475353,189.5029
42.16345234,-79.96476314,189.5042
42.16344854,-79.96477274,189.5053
42.16344468,-79.96478239,189.5102
42.16344084,-79.9647921,189.5158
42.16343698,-79.96480184,189.5281
42.16343312,-79.96481157,189.5356
42.16342923,-79.96482136,189.5481
42.16342532,-79.96483113,189.5547
42.16342143,-79.96484095,189.5679
42.16341755,-79.96485079,189.5713
42.16341367,-79.96486067,189.5764
42.16340976,-79.96487058,189.5786
42.16340585,-79.9648805,189.5819
42.16340194,-79.96489048,189.5832
42.16339807,-79.96490046,189.5808
42.16339414,-79.96491049,189.5755
42.16339023,-79.96492055,189.576
42.16338631,-79.96493064,189.577
42.16338232,-79.96494073,189.604
42.16337837,-79.96495087,189.6096
42.16337449,-79.9649612,189.5939
42.16337047,-79.96497134,189.6061
42.1633665,-79.96498158,189.6107
42.16336252,-79.96499187,189.6129
42.16335848,-79.96500222,189.6079
42.16335456,-79.96501253,189.6242
42.16335051,-79.96502289,189.6203
42.16334649,-79.9650333,189.618
42.16334251,-79.96504374,189.627
42.16333847,-79.96505419,189.6246
42.16333445,-79.96506475,189.637
42.16333044,-79.96507525,189.6409
42.16332643,-79.96508577,189.6463
42.16332242,-79.9650964,189.6549
42.16331845,-79.96510711,189.6671
42.16331443,-79.96511773,189.6688
42.1633104,-79.96512845,189.6763
42.16330634,-79.96513927,189.6924
42.16330222,-79.96515006,189.6995
42.16329811,-79.96516092,189.7114
42.16329401,-79.96517179,189.7195
42.16328987,-79.9651827,189.7243
42.16328578,-79.96519366,189.731
42.16328165,-79.96520466,189.7412
42.16327754,-79.9652157,189.7488
42.1632734,-79.96522676,189.7546
42.16326928,-79.96523784,189.759
42.16326516,-79.96524894,189.7613
42.16326105,-79.96526009,189.763
42.1632569,-79.96527128,189.7711
42.16325273,-79.96528252,189.7786
42.16324855,-79.96529376,189.7802
42.16324438,-79.96530501,189.7851
42.16324019,-79.96531631,189.7879
42.16323597,-79.96532766,189.7865
42.16323176,-79.965339,189.7882
42.16322753,-79.96535038,189.7946
42.1632233,-79.96536181,189.8044
42.16321905,-79.96537328,189.8171
42.16321479,-79.9653848,189.8287
42.16321052,-79.96539634,189.8454
42.16320626,-79.96540792,189.8605
42.16320198,-79.96541951,189.8659
42.16319772,-79.96543119,189.8674
42.16319344,-79.96544282,189.8827
42.16318912,-79.96545451,189.8916
42.16318488,-79.9654663,189.8841
42.16318055,-79.96547801,189.8966
42.16317624,-79.96548979,189.8956
42.1631719,-79.96550162,189.901
42.16316753,-79.96551346,189.9004
42.16316315,-79.96552531,189.9067
42.16315875,-79.96553722,189.9097
42.16315436,-79.96554915,189.91
42.16314988,-79.96556111,189.9143
42.16314548,-79.96557309,189.9209
42.16314107,-79.96558512,189.9248
42.16313657,-79.96559721,189.9177
42.1631321,-79.96560933,189.9286
42.16312762,-79.9656215,189.9311
42.16312312,-79.96563367,189.9405
42.16311864,-79.96564591,189.9495
42.1631141,-79.96565818,189.9531
42.16310955,-79.96567046,189.9554
42.16310497,-79.96568285,189.9672
42.1631004,-79.9656952,189.9745
42.16309584,-79.96570761,189.9826
42.16309123,-79.96572,189.9899
42.16308661,-79.96573247,189.9984
42.16308194,-79.96574495,190.0016
42.16307731,-79.96575747,189.9978
42.16307267,-79.96577003,189.9984
42.16306805,-79.96578263,189.9987
42.16306338,-79.96579528,189.9998
42.16305866,-79.96580798,190.0141
42.16305394,-79.96582071,190.0271
42.16304919,-79.96583346,190.037
42.16304444,-79.96584626,190.0476
42.1630397,-79.96585909,190.0625
42.16303496,-79.96587198,190.0687
42.16303023,-79.9658849,190.0793
42.16302546,-79.96589785,190.0841
42.16302071,-79.96591084,190.0952
42.16301596,-79.96592391,190.1057
42.16301116,-79.96593702,190.1076
